song,performer,date,chart_position,hitTF
Look What God Gave Her,Thomas Rhett,2019-05-11,53,1
Go Loko,"YG, Tyga & Jon Z",2019-07-13,53,1
Love Lies,Khalid & Normani,2018-04-28,54,1
Five More Minutes,Scotty McCreery,2018-02-17,54,1
Just Us,DJ Khaled Featuring SZA,2019-07-27,56,1
Drew Barrymore,Bryce Vine,2018-10-20,56,1
Get Along,Kenny Chesney,2018-06-16,56,1
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-09-15,57,1
Nowadays,Lil Skies Featuring Landon Cube,2018-03-17,58,1
For The First Time,Darius Rucker,2018-06-02,58,1
Nightmare,Halsey,2019-07-27,59,1
No Excuses,Meghan Trainor,2018-05-12,59,1
Dura,Daddy Yankee,2018-04-14,59,1
I Love It,Kanye West & Lil Pump,2018-11-17,60,1
Knockin' Boots,Luke Bryan,2019-07-06,61,1
Good Vibes,Chris Janson,2019-11-09,62,1
Enemies,Post Malone Featuring DaBaby,2019-11-16,63,1
El Farsante,Ozuna & Romeo Santos,2018-04-07,63,1
Hangin' On,Chris Young,2018-11-10,63,1
Mercy,Brett Young,2018-07-14,64,1
Easier,5 Seconds Of Summer,2019-08-03,64,1
IDGAF,Dua Lipa,2018-03-24,64,1
Ella Quiere Beber,Anuel AA & Romeo Santos,2019-01-12,64,1
Earfquake,"Tyler, The Creator",2019-07-27,65,1
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",2019-12-14,65,1
Love You Too Late,Cole Swindell,2019-10-12,65,1
No Stylist,French Montana Featuring Drake,2018-12-01,66,1
Esskeetit,Lil Pump,2018-06-23,68,1
Echame La Culpa,Luis Fonsi & Demi Lovato,2018-02-03,68,1
Hardaway,Derez De'Shon,2018-04-14,68,1
Everyday,Logic & Marshmello,2018-05-12,70,1
KOD,J. Cole,2018-06-30,71,1
Motivation,Normani,2019-10-26,71,1
Love Someone,Brett Eldredge,2019-06-29,71,1
Miss Me More,Kelsea Ballerini,2019-04-13,71,1
Lalala,Y2K & bbno$,2019-09-07,71,1
Falling Down,Lil Peep & XXXTENTACION,2018-11-24,72,1
Girls Need Love,Summer Walker X Drake,2019-05-04,72,1
La Modelo,Ozuna x Cardi B,2018-03-03,72,1
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018-06-30,72,1
It's You,Ali Gatie,2019-08-24,72,1
Heartache Medication,Jon Pardi,2019-12-07,74,1
Kinfolks,Sam Hunt,2019-12-21,77,1
Done For Me,Charlie Puth Featuring Kehlani,2018-07-14,78,1
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",2019-09-14,79,1
Love Ain't,Eli Young Band,2019-06-22,80,1
I Like Me Better,Lauv,2018-04-21,80,1
Down To The Honkytonk,Jake Owen,2019-03-09,80,1
Fine China,Future & Juice WRLD,2018-12-29,82,1
La La Land,Bryce Vine Featuring YG,2019-08-10,83,1
Drip,Cardi B Featuring Migos,2018-06-16,84,1
F.N,Lil Tjay,2019-10-19,84,1
Lucky You,Eminem Featuring Joyner Lucas,2018-11-10,85,1
Hate Me,Ellie Goulding & Juice WRLD,2019-09-28,86,1
Drunk Girl,Chris Janson,2018-11-03,87,1
Faucet Failure,Ski Mask The Slump God,2019-05-04,88,1
Narcos,Migos,2018-04-07,89,1
Love Someone,Lukas Graham,2019-03-09,89,1
I Lived It,Blake Shelton,2018-05-12,91,1
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,2019-05-18,95,1
Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-03-23,95,1
MIC Drop,BTS Featuring Desiigner,2018-02-10,98,1
Make It Sweet,Old Dominion,2019-03-09,99,1
God's Plan,Drake,2018-04-07,1,1
In My Feelings,Drake,2018-09-15,1,1
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-05-18,1,1
Nice For What,Drake,2018-06-23,1,1
I Don't Care,Ed Sheeran & Justin Bieber,2019-07-27,3,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-06-23,3,1
Finesse,Bruno Mars & Cardi B,2018-03-17,3,1
Goodbyes,Post Malone Featuring Young Thug,2019-09-21,3,1
Girls Like You,Maroon 5 Featuring Cardi B,2018-08-11,4,1
Memories,Maroon 5,2019-12-07,4,1
Happier,Marshmello & Bastille,2018-11-03,4,1
Lucid Dreams,Juice WRLD,2018-07-28,6,1
Look Alive,BlocBoy JB Featuring Drake,2018-04-28,6,1
No Guidance,Chris Brown Featuring Drake,2019-08-24,6,1
Good As Hell,Lizzo,2019-11-09,6,1
Middle Child,J. Cole,2019-04-06,7,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-10-06,8,1
No Tears Left To Cry,Ariana Grande,2018-07-07,8,1
Drip Too Hard,Lil Baby & Gunna,2018-12-01,9,1
MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-20,10,1
Mo Bamba,Sheck Wes,2018-11-10,10,1
Mine,Bazzi,2018-04-07,11,1
Money In The Grave,Drake Featuring Rick Ross,2019-08-31,13,1
If I Can't Have You,Shawn Mendes,2019-07-20,14,1
Natural,Imagine Dragons,2018-10-06,14,1
Him & I,G-Eazy & Halsey,2018-02-24,14,1
Going Bad,Meek Mill Featuring Drake,2019-02-16,15,1
God Is A Woman,Ariana Grande,2018-09-29,17,1
Let You Down,NF,2018-01-06,17,1
Nonstop,Drake,2018-09-15,18,1
Gummo,6ix9ine,2018-02-03,18,1
Money,Cardi B,2019-01-05,19,1
Murder On My Mind,YNW Melly,2019-04-06,19,1
God's Country,Blake Shelton,2019-06-15,19,1
In My Blood,Shawn Mendes,2018-06-02,20,1
Friends,Marshmello & Anne-Marie,2018-04-28,21,1
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-06-02,22,1
My Type,Saweetie,2019-09-14,22,1
On Chill,Wale Featuring Jeremih,2019-10-26,22,1
Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-13,24,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-06-29,24,1
HIGHEST IN THE ROOM,Travis Scott,2019-12-21,25,1
MIA,Bad Bunny Featuring Drake,2018-12-29,26,1
How Do You Sleep?,Sam Smith,2019-10-05,26,1
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-03-31,27,1
Leave Me Alone,Flipp Dinero,2018-12-01,28,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-09-29,29,1
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-10-13,30,1
ME!,Taylor Swift Featuring Brendon Urie,2019-07-06,31,1
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-10-26,31,1
Hot,Young Thug Featuring Gunna,2019-11-02,31,1
Red Roses,Lil Skies Featuring Landon Cube,2018-01-20,98,1
A Girl Like You,Easton Corbin,2018-02-17,98,1
Break Up In The End,Cole Swindell,2018-03-10,98,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-03-17,98,1
Close,Rae Sremmurd & Travis Scott,2018-05-05,98,1
Preach,YoungBoy Never Broke Again,2018-05-19,98,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2018-12-01,98,1
Rainbow,Kacey Musgraves,2019-02-23,98,1
Stop Snitching,YG,2019-05-11,98,1
Paradise,Bazzi,2019-05-18,98,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-07-06,98,1
Spirit,Beyonce,2019-07-27,98,1
DHL,Frank Ocean,2019-11-02,98,1
Big Stepper,Roddy Ricch,2019-12-21,98,1
Rock,Plies,2018-02-03,99,1
Don't Go Breaking My Heart,Backstreet Boys,2018-06-02,99,1
Sin Pijama,Becky G + Natti Natasha,2018-06-16,99,1
Pete Davidson,Ariana Grande,2018-09-01,99,1
Casper,TakeOff,2018-11-17,99,1
Splashin,Rich The Kid,2019-01-26,99,1
Big Ole Freak,Megan Thee Stallion,2019-04-20,99,1
Die Young,Roddy Ricch,2019-05-18,99,1
Best Part Of Me,Ed Sheeran Featuring YEBBA,2019-07-27,99,1
Prayed For You,Matt Stell,2019-08-17,99,1
Show Yourself,Idina Menzel & Evan Rachel Wood,2019-12-07,99,1
She,Harry Styles,2019-12-28,99,1
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-13,100,1
Broken Clocks,SZA,2018-03-17,100,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-04-21,100,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2018-11-03,100,1
Burn The House Down,AJR,2018-12-01,100,1
Call The Coroner,Future,2019-02-02,100,1
One That Got Away,Michael Ray,2019-03-02,100,1
Otro Trago,Sech Featuring Darell,2019-06-22,100,1
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump,2019-07-06,100,1
Did It Again,Lil Tecca,2019-08-31,100,1
Remember You Young,Thomas Rhett,2019-09-28,100,1
Rich As Hell,YoungBoy Never Broke Again,2019-10-26,100,1
Big Boy Diamonds,Gucci Mane Featuring Kodak Black & London On Da Track,2019-11-16,100,1
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,2019-11-30,100,1
BEST ON EARTH,Russ & BIA,2019-12-21,100,1
"Thank U, Next",Ariana Grande,2018-11-24,1,1
7 Rings,Ariana Grande,2019-02-09,1,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-17,4,1
Circles,Post Malone,2019-09-21,4,1
Senorita,Shawn Mendes & Camila Cabello,2019-07-13,5,1
Shallow,Lady Gaga & Bradley Cooper,2018-10-20,5,1
Sucker,Jonas Brothers,2019-03-23,6,1
Sicko Mode,Travis Scott,2018-08-25,7,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-03-02,8,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-10-26,10,1
Chun-Li,Nicki Minaj,2018-04-28,10,1
"10,000 Hours",Dan + Shay & Justin Bieber,2019-10-26,11,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-02-24,11,1
Bad Guy,Billie Eilish,2019-04-20,11,1
Be Careful,Cardi B,2018-04-21,11,1
Please Me,Cardi B & Bruno Mars,2019-03-09,14,1
Bury A Friend,Billie Eilish,2019-02-16,14,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-09-28,17,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-02-17,17,1
Boyfriend,Ariana Grande & Social House,2019-08-24,19,1
Apes**t,The Carters,2018-07-07,19,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-13,19,1
Sad!,XXXTENTACION,2018-03-24,19,1
Call Out My Name,The Weeknd,2018-04-21,20,1
Don't Matter To Me,Drake Featuring Michael Jackson,2018-07-21,21,1
Rap Devil,Machine Gun Kelly,2018-09-29,22,1
Panini,Lil Nas X,2019-07-13,22,1
Better Now,Post Malone,2018-05-19,23,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-10,24,1
Adore You,Harry Styles,2019-12-28,24,1
Barbie Tingz,Nicki Minaj,2018-04-28,25,1
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-04-20,26,1
Stargazing,Travis Scott,2018-08-25,27,1
Roxanne,Arizona Zervas,2019-11-23,27,1
Rudolph The Red-Nosed Reindeer,Gene Autry,2018-12-22,27,1
Robbery,Juice WRLD,2019-03-09,28,1
Beer Never Broke My Heart,Luke Combs,2019-05-25,29,1
Close Friends,Lil Baby,2018-10-27,30,1
All Mine,Kanye West,2018-06-23,31,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-20,31,1
Sanguine Paradise,Lil Uzi Vert,2019-05-04,32,1
(There's No Place Like) Home For The Holidays,Perry Como,2019-01-05,32,1
Saint-Tropez,Post Malone,2019-09-28,33,1
Sleigh Ride,The Ronettes,2018-12-29,33,1
A Lot,21 Savage,2019-01-12,36,1
Breathin,Ariana Grande,2018-09-08,37,1
Camelot,NLE Choppa,2019-10-05,37,1
Paranoid,Post Malone,2018-05-19,38,1
Barbie Dreams,Nicki Minaj,2018-09-01,38,1
Rodeo,Lil Nas X & Cardi B,2019-07-13,38,1
Baby Shark,Pinkfong,2019-01-19,38,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-01-12,38,1
Rich & Sad,Post Malone,2018-05-19,39,1
BAD!,XXXTENTACION,2018-12-01,39,1
Boy With Luv,BTS Featuring Halsey,2019-05-04,40,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-05-19,40,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-07-20,40,1
BOP,DaBaby,2019-10-19,41,1
Dancing With A Stranger,Sam Smith & Normani,2019-02-02,41,1
Baby,Lil Baby & DaBaby,2019-08-10,41,1
ATM,J. Cole,2018-05-12,42,1
Die For Me,Post Malone Featuring Future & Halsey,2019-09-28,42,1
Christmas (Baby Please Come Home),Darlene Love,2019-01-05,43,1
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,2018-05-12,43,1
Ring,Cardi B Featuring Kehlani,2018-04-28,44,1
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-08-10,44,1
Stay,Post Malone,2018-05-19,45,1
Can't Take A Joke,Drake,2018-07-21,45,1
Don't Start Now,Dua Lipa,2019-11-23,46,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-06-15,46,1
Back To You,Selena Gomez,2018-06-02,46,1
Press,Cardi B,2019-06-22,47,1
TATI,6ix9ine Featuring DJ SPINKING,2018-06-16,47,1
Overdose,YoungBoy Never Broke Again,2018-05-19,47,1
Queen Of Mean,Sarah Jeffery,2019-08-24,49,1
Always Remember Us This Way,Lady Gaga,2018-10-27,50,1
Talk,Khalid,2019-03-02,50,1
Red Room,Offset,2019-03-09,50,1
Spoil My Night,Post Malone Featuring Swae Lee,2018-05-19,51,1
STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-27,51,1
Outside Today,YoungBoy Never Broke Again,2018-02-03,51,1
Blinding Lights,The Weeknd,2019-12-21,52,1
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-10-05,52,1
Beautiful,Bazzi Featuring Camila Cabello,2018-08-25,52,1
Bloodline,Ariana Grande,2019-03-02,53,1
BEBE,6ix9ine Featuring Anuel AA,2018-09-22,53,1
All The Stars,Kendrick Lamar & SZA,2018-01-27,53,1
Armed And Dangerous,Juice WRLD,2018-12-01,53,1
Billy,6ix9ine,2018-03-17,53,1
Calling My Spirit,Kodak Black,2018-12-22,53,1
Cozy Little Christmas,Katy Perry,2019-01-05,53,1
All Girls Are The Same,Juice WRLD,2018-06-02,53,1
Bad Bad Bad,Young Thug Featuring Lil Baby,2019-09-07,54,1
Diplomatic Immunity,Drake,2018-02-10,55,1
Bad Idea,Ariana Grande,2019-03-02,55,1
Blue Tint,Drake,2018-07-21,55,1
Pure Cocaine,Lil Baby,2018-12-22,55,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-11-17,56,1
After Dark,Drake Featuring Static Major & Ty Dolla $ign,2018-07-21,56,1
10 Freaky Girls,Metro Boomin Featuring 21 Savage,2018-11-24,56,1
Better,Khalid,2018-10-06,57,1
Simple,Florida Georgia Line,2018-06-23,57,1
Talk Up,Drake Featuring JAY-Z,2018-07-21,58,1
8 Out Of 10,Drake,2018-07-21,59,1
Crushed Up,Future,2019-01-26,59,1
Changes,XXXTENTACION,2018-03-24,59,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-02-16,59,1
Taste,Tyga Featuring Offset,2018-06-16,59,1
223's,YNW Melly & 9lokknine,2019-09-28,59,1
Death,Trippie Redd Featuring DaBaby,2019-12-07,59,1
Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-20,60,1
A Thousand Bad Times,Post Malone,2019-09-28,60,1
Bigger > You,"2 Chainz, Drake & Quavo",2018-07-07,60,1
Diamond Teeth Samurai,YoungBoy Never Broke Again,2018-04-28,61,1
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-01-12,61,1
Antisocial,Ed Sheeran & Travis Scott,2019-08-03,62,1
Sandra's Rose,Drake,2018-07-21,63,1
Don't Come Out The House,Metro Boomin Featuring 21 Savage,2018-11-24,63,1
Act Up,City Girls,2019-03-23,63,1
Dip,Tyga & Nicki Minaj,2018-11-17,63,1
Suge,DaBaby,2019-04-20,63,1
Over Now,Post Malone,2018-05-19,64,1
Summer Games,Drake,2018-07-21,64,1
Slide Away,Miley Cyrus,2019-09-07,64,1
One Kiss,Calvin Harris & Dua Lipa,2018-04-28,64,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-05-12,64,1
44 More,Logic,2018-03-17,65,1
Can't Leave Without It,21 Savage,2019-01-12,65,1
Paramedic!,SOB X RBE,2018-03-03,65,1
Before I Let Go,Beyonce,2019-05-11,65,1
Ran$om,Lil Tecca,2019-06-22,65,1
Same Bitches,Post Malone Featuring G-Eazy & YG,2018-05-19,66,1
Stop Trying To Be God,Travis Scott,2018-08-25,66,1
Self Care,Mac Miller,2018-09-29,66,1
Space Cadet,Metro Boomin Featuring Gunna,2018-11-24,66,1
Delicate,Taylor Swift,2018-03-31,66,1
Takin' Shots,Post Malone,2018-05-19,67,1
Best Life,Cardi B Featuring Chance The Rapper,2018-04-28,67,1
Bed,Nicki Minaj Featuring Ariana Grande,2018-07-07,67,1
Shoota,Playboi Carti Featuring Lil Uzi Vert,2018-06-02,67,1
That's How You Feel,Drake,2018-07-21,68,1
Bickenhead,Cardi B,2018-04-28,68,1
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,2018-12-01,68,1
Callaita,Bad Bunny & Tainy,2019-06-29,68,1
Blue Tacoma,Russell Dickerson,2018-09-08,68,1
Survival,Drake,2018-07-21,69,1
Can't Say,Travis Scott,2018-08-25,69,1
92 Explorer,Post Malone,2018-05-19,69,1
Summertime Magic,Childish Gambino,2018-08-04,69,1
Plug Walk,Rich The Kid,2018-03-03,69,1
Take It From Me,Jordan Davis,2019-01-19,69,1
Red Roses,Lil Skies Featuring Landon Cube,2018-01-27,69,1
Staring At The Sun,Post Malone Featuring SZA,2019-09-28,70,1
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-06-16,70,1
All Dat,Moneybagg Yo X Megan Thee Stallon,2019-11-02,70,1
Out The Mud,Lil Baby Featuring Future,2019-07-13,70,1
Show Yourself,Idina Menzel & Evan Rachel Wood,2019-12-14,70,1
Cruel Summer,Taylor Swift,2019-09-14,71,1
Boo'd Up,Ella Mai,2018-04-21,72,1
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,2019-07-27,73,1
Booty,Blac Youngsta,2018-03-17,73,1
One Number Away,Luke Combs,2018-04-07,73,1
Come Thru,Summer Walker & Usher,2019-10-26,74,1
She Got The Best Of Me,Luke Combs,2018-09-01,74,1
R.I.P Screw,Travis Scott,2018-08-25,75,1
Cool,Jonas Brothers,2019-04-27,75,1
Saturday Nights,Khalid & Kane Brown,2019-02-02,75,1
Broken,lovelytheband,2018-08-04,75,1
Dance Monkey,Tones And I,2019-10-26,75,1
One Thing Right,Marshmello & Kane Brown,2019-07-13,76,1
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-06-01,76,1
Powerglide,Rae Sremmurd & Juicy J,2018-03-24,76,1
Ruin My Life,Zara Larsson,2019-01-19,76,1
Ridin' Roads,Dustin Lynch,2019-11-23,76,1
Secreto,Anuel AA & Karol G,2019-02-09,77,1
Dedicate,Lil Wayne,2018-10-20,78,1
Allergic,Post Malone,2019-09-28,78,1
Rewrite The Stars,Zac Efron & Zendaya,2018-01-20,78,1
Sit Next To Me,Foster The People,2018-04-07,78,1
1985 (Intro To The Fall Off),J. Cole,2018-05-12,79,1
The Archer,Taylor Swift,2019-08-10,79,1
Remind Me To Forget,Kygo Featuring Miguel,2018-08-04,79,1
Rich As Hell,YoungBoy Never Broke Again,2019-11-02,79,1
Photograph,J. Cole,2018-05-12,80,1
Taking A Walk,Trippie Redd,2018-09-01,80,1
6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,2019-12-14,80,1
Some Of It,Eric Church,2019-06-15,80,1
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-09-15,80,1
Someone You Loved,Lewis Capaldi,2019-06-01,80,1
Body,Loud Luxury Featuring Brando,2019-01-19,80,1
Coming Home,Keith Urban Featuring Julia Michaels,2018-07-14,80,1
Carousel,Travis Scott,2018-08-25,81,1
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,2018-09-08,81,1
"Sunrise, Sunburn, Sunset",Luke Bryan,2018-07-21,81,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-06-29,81,1
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-05-12,82,1
Start Wit Me,Roddy Ricch & Gunna,2019-11-16,82,1
That's A Rack,Lil Uzi Vert,2019-05-04,82,1
Best Part,Daniel Caesar Featuring H.E.R.,2018-08-11,82,1
Shot Clock,Ella Mai,2019-02-16,82,1
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018-08-04,82,1
One Man Band,Old Dominion,2019-09-14,82,1
Prayed For You,Matt Stell,2019-08-24,82,1
Self Control,YoungBoy Never Broke Again,2019-09-28,83,1
Big Shot,Kendrick Lamar & Travis Scott,2018-03-03,83,1
Behind Barz,Drake,2019-10-05,83,1
Talk To Me,Tory Lanez & Rich The Kid,2018-11-17,83,1
Right Back,Khalid Featuring A Boogie Wit da Hoodie,2019-08-24,83,1
Sweet But Psycho,Ava Max,2019-01-05,83,1
Consequences,Camila Cabello,2018-11-24,83,1
Closed On Sunday,Kanye West,2019-11-16,84,1
Single Again,Big Sean,2019-08-17,84,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-06-22,84,1
One Foot,WALK THE MOON,2018-01-20,84,1
Big Ole Freak,Megan Thee Stallion,2019-04-27,84,1
Reply,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,2019-12-07,85,1
Remember You Young,Thomas Rhett,2019-10-05,85,1
24/7,Meek Mill Featuring Ella Mai,2018-12-22,86,1
Say Amen (Saturday Night),Panic! At The Disco,2018-04-14,86,1
Suicidal,YNW Melly,2019-12-14,86,1
Shotta Flow,NLE Choppa,2019-05-11,86,1
Best Shot,Jimmie Allen,2018-10-06,86,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-07-13,86,1
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-20,86,1
SOS,Avicii Featuring Aloe Blacc,2019-05-04,87,1
Sixteen,Thomas Rhett,2018-12-01,87,1
Speechless,Dan + Shay,2018-09-29,87,1
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,2019-05-18,88,1
Rumor,Lee Brice,2019-03-30,88,1
Buy My Own Drinks,Runaway June,2019-08-31,88,1
Rearview Town,Jason Aldean,2019-06-15,88,1
5% Tint,Travis Scott,2018-08-25,89,1
Otherside,Post Malone,2018-05-19,89,1
BBO (Bad Bitches Only),Migos Featuring 21 Savage,2018-02-17,89,1
Butterfly Doors,Lil Pump,2019-01-26,89,1
Stir Fry,Migos,2018-01-13,89,1
Singles You Up,Jordan Davis,2018-02-24,89,1
Be Alright,Dean Lewis,2018-11-17,89,1
Southbound,Carrie Underwood,2019-08-03,89,1
RAW SHIT,DaBaby Featuring Migos,2019-10-19,90,1
She Bad,Cardi B & YG,2018-04-28,90,1
Sick Boy,The Chainsmokers,2018-02-10,90,1
Peta,Roddy Ricch Featuring Meek Mill,2019-12-28,90,1
Corazon,Maluma X Nego do Borel,2018-01-20,90,1
Power Is Power,"SZA, The Weeknd & Travis Scott",2019-05-18,90,1
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,2019-01-12,90,1
Raised On Country,Chris Young,2019-06-22,90,1
Can't Be Broken,Lil Wayne,2018-10-20,91,1
Reborn,KIDS SEE GHOSTS,2018-06-30,91,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-06-16,91,1
Calma,Pedro Capo X Farruko,2019-03-30,91,1
Only Human,Jonas Brothers,2019-06-29,91,1
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,2019-01-19,91,1
Paradise,Bazzi,2019-05-25,91,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2018-11-10,91,1
Selah,Kanye West,2019-11-16,92,1
All The Good Girls Go To Hell,Billie Eilish,2019-04-20,92,1
Carter Son,YoungBoy Never Broke Again,2019-11-02,92,1
At The Club,Jacquees X Dej Loaf,2018-02-24,92,1
Cuban Links,Rod Wave & Kevin Gates,2019-12-14,92,1
Don't Call Me Up,Mabel,2019-04-13,92,1
BEST ON EARTH,Russ & BIA,2019-12-28,92,1
Peak,Drake,2018-07-21,93,1
Blame It On Me,Post Malone,2018-05-19,93,1
Promises,Calvin Harris & Sam Smith,2018-09-08,93,1
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",2019-08-03,93,1
Burn Out,Midland,2019-01-19,93,1
Ballin',Mustard Featuring Roddy Ricch,2019-08-10,93,1
She's With Me,High Valley,2018-03-17,93,1
All To Myself,Dan + Shay,2019-05-25,93,1
Que Pretendes,J Balvin & Bad Bunny,2019-07-20,94,1
Desperate Man,Eric Church,2018-08-04,94,1
Born To Be Yours,Kygo & Imagine Dragons,2018-07-07,94,1
Candy,Doja Cat,2019-12-14,94,1
MIC Drop,BTS Featuring Desiigner,2018-01-20,74,1
Narcos,Migos,2018-03-17,74,1
Down To The Honkytonk,Jake Owen,2019-02-16,74,1
Heartache Medication,Jon Pardi,2019-11-16,75,1
Fake Love,BTS,2018-07-07,76,1
Everyday,Logic & Marshmello,2018-04-21,76,1
Girls Need Love,Summer Walker X Drake,2019-04-13,76,1
Kiss Somebody,Morgan Evans,2018-08-18,77,1
Love You Too Late,Cole Swindell,2019-09-21,77,1
Make No Sense,YoungBoy Never Broke Again,2019-11-30,78,1
Killshot,Eminem,2018-11-03,79,1
La Modelo,Ozuna x Cardi B,2018-02-10,79,1
F.N,Lil Tjay,2019-09-28,80,1
Hate Me,Ellie Goulding & Juice WRLD,2019-09-07,80,1
I Like Me Better,Lauv,2018-03-31,80,1
Lonely Child,YoungBoy Never Broke Again,2019-11-30,81,1
La La Land,Bryce Vine Featuring YG,2019-07-20,81,1
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-11-17,82,1
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-03-03,82,1
Growing Pains,Alessia Cara,2018-08-18,83,1
Five More Minutes,Scotty McCreery,2018-01-27,83,1
Miss Me More,Kelsea Ballerini,2019-03-23,83,1
Love Wins,Carrie Underwood,2019-02-16,84,1
Lean Wit Me,Juice WRLD,2018-09-22,85,1
Ice Tray,Quavo & Lil Yachty,2018-01-27,86,1
Make It Sweet,Old Dominion,2019-02-16,87,1
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-07-07,89,1
Hangin' On,Chris Young,2018-10-20,89,1
Easy,DaniLeigh Featuring Chris Brown,2019-12-21,89,1
Filthy,Justin Timberlake,2018-02-24,90,1
INTRO,DaBaby,2019-11-09,90,1
New Patek,Lil Uzi Vert,2018-11-03,90,1
For The First Time,Darius Rucker,2018-05-12,90,1
Follow God,Kanye West,2019-12-14,91,1
Earth,Lil Dicky,2019-06-08,91,1
Level Up,Ciara,2018-09-08,91,1
Ella Quiere Beber,Anuel AA & Romeo Santos,2018-12-22,93,1
